"","Municipio","Año","Especie","Animales Sembrados","Animales Cosechados","Peso Promedio","Producción","Precio Productor"
"1","Apia",2014,"CARPA",400,350,400,140,8000
"2","Apia",2014,"TILAPIA NEGRA",23820,22629,350,7920,8000
"3","Apia",2014,"TILAPIA O MOJARRA ROJA",35730,33943,350,11880,8000
"4","Balboa",2014,"TILAPIA O MOJARRA ROJA",25510,22560,330,7445,7500
"5","Belén de Umbría",2014,"CACHAMA",8000,7500,500,3750,6500
"6","Belén de Umbría",2014,"TRUCHA",44500,40050,450,18023,9000
"7","Belén de Umbría",2014,"TILAPIA NEGRA",41200,37080,320,11866,7000
"8","Belén de Umbría",2014,"TILAPIA O MOJARRA ROJA",312700,281430,300,84429,7000
"9","Dosquebradas",2014,"TILAPIA O MOJARRA ROJA",12990,11000,400,4400,8000
"10","Dosquebradas",2014,"TILAPIA NEGRA",11496,10000,450,4500,7500
"11","Dosquebradas",2014,"CACHAMA",4000,3800,600,2280,7000
"12","Dosquebradas",2014,"TRUCHA",6400,5700,450,2565,9000
"13","Guática",2014,"TILAPIA NEGRA",5980,5200,300,1560,6000
"14","Guática",2014,"CACHAMA",2702,2350,350,823,6000
"15","Guática",2014,"TILAPIA O MOJARRA ROJA",9595,8344,300,2503,6500
"16","La Celia",2014,"TILAPIA O MOJARRA ROJA",28350,27800,380,10564,6500
"17","La Celia",2014,"CARPA",50,50,300,15,6500
"18","La Celia",2014,"TILAPIA NEGRA",6550,6000,380,2280,6500
"19","La Celia",2014,"TRUCHA",1100,1000,300,300,11000
"20","La Virginia",2014,"TILAPIA O MOJARRA ROJA",1800,1500,300,450,7000
"21","La Virginia",2014,"TILAPIA NEGRA",600,500,300,150,7000
"22","Marsella",2014,"CACHAMA",120,120,500,60,7000
"23","Marsella",2014,"TILAPIA NEGRA",13680,12350,300,3705,7000
"24","Marsella",2014,"TILAPIA O MOJARRA ROJA",23500,18800,300,5640,7000
"25","Mistrató",2014,"TRUCHA",15500,13950,300,4185,11000
"26","Mistrató",2014,"TILAPIA O MOJARRA ROJA",37100,33390,250,8348,7500
"27","Mistrató",2014,"TILAPIA NEGRA",2450,2205,250,551,7500
"28","Mistrató",2014,"MOJARRA CHITRALA",850,765,250,191,7500
"29","Pereira",2014,"CACHAMA",35400,31860,600,19116,6500
"30","Pereira",2014,"TILAPIA NEGRA",24200,23000,350,8050,6500
"31","Pereira",2014,"MOJARRA CHITRALA",110000,93500,450,42075,7200
"32","Pereira",2014,"TILAPIA O MOJARRA ROJA",1560000,1296000,320,414720,7200
"33","Pereira",2014,"CARPA",2200,2000,450,900,6000
"34","Pueblo Rico",2014,"TILAPIA O MOJARRA ROJA",4280,4066,250,1017,8000
"35","Pueblo Rico",2014,"TILAPIA NEGRA",3000,2850,250,713,8000
"36","Pueblo Rico",2014,"CACHAMA",9920,9424,300,2827,8000
"37","Quinchia",2014,"CACHAMA",600,600,400,240,8000
"38","Quinchia",2014,"TILAPIA O MOJARRA ROJA",60590,60590,300,18177,7500
"39","Quinchia",2014,"TRUCHA",1500,1500,250,375,12000
"40","Quinchia",2014,"TILAPIA NEGRA",44947,40452,300,12136,7500
"41","Santa Rosa de C.",2014,"TILAPIA O MOJARRA ROJA",86000,79000,300,23700,6000
"42","Santa Rosa de C.",2014,"TILAPIA NEGRA",54000,41000,330,13530,5500
"43","Santa Rosa de C.",2014,"CACHAMA",1500,1300,340,442,5000
"44","Santa Rosa de C.",2014,"CARPA",1900,2150,400,860,4000
"45","Santa Rosa de C.",2014,"TRUCHA",1953895,1904000,400,761600,9500
"46","Santuario",2014,"TILAPIA O MOJARRA ROJA",138843,125000,280,35000,6500
"47","Santuario",2014,"TILAPIA NEGRA",300,270,280,76,6000
"48","Santuario",2014,"TRUCHA",20000,18000,300,5400,10000
"49","Apia",2015,"CARPA",500,380,400,152,6500
"50","Apia",2015,"TILAPIA O MOJARRA ROJA",40200,37550,350,13143,6800
